Date : 2021-10-19 17:29:36
Directory : /Users/adamspice/projects/spiceydev
Total : 222 files,  44004 codes, 614 comments, 748 blanks, all 45366 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         45 |     39,218 |        320 |         32 |     39,570 |
| TypeScript |         95 |      2,863 |        224 |        466 |      3,553 |
| HTML       |         34 |        958 |          0 |         45 |      1,003 |
| SCSS       |         30 |        535 |         10 |        111 |        656 |
| JavaScript |         11 |        187 |         59 |         24 |        270 |
| XML        |          1 |        170 |          0 |          1 |        171 |
| Markdown   |          5 |         71 |          0 |         67 |        138 |
| Ignore     |          1 |          2 |          1 |          2 |          5 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |        222 |     44,004 |        614 |        748 |     45,366 |
| apps                                                                                                                    |         88 |      2,342 |        352 |        241 |      2,935 |
| apps/admin                                                                                                              |         38 |      1,716 |         97 |        139 |      1,952 |
| apps/admin-e2e                                                                                                          |         10 |         61 |         73 |         18 |        152 |
| apps/admin-e2e/src                                                                                                      |          6 |         26 |         55 |         15 |         96 |
| apps/admin-e2e/src/fixtures                                                                                             |          1 |          4 |          0 |          1 |          5 |
| apps/admin-e2e/src/integration                                                                                          |          1 |          8 |          2 |          4 |         14 |
| apps/admin-e2e/src/plugins                                                                                              |          1 |          4 |         14 |          5 |         23 |
| apps/admin-e2e/src/support                                                                                              |          3 |         10 |         39 |          5 |         54 |
| apps/admin/src                                                                                                          |         32 |      1,653 |         55 |        135 |      1,843 |
| apps/admin/src/app                                                                                                      |         27 |      1,627 |          0 |        121 |      1,748 |
| apps/admin/src/app/pages                                                                                                |         18 |      1,363 |          0 |         99 |      1,462 |
| apps/admin/src/app/pages/categories                                                                                     |          4 |        284 |          0 |         20 |        304 |
| apps/admin/src/app/pages/categories/categories-form                                                                     |          2 |        170 |          0 |         13 |        183 |
| apps/admin/src/app/pages/categories/categories-list                                                                     |          2 |        114 |          0 |          7 |        121 |
| apps/admin/src/app/pages/dashboard                                                                                      |          2 |         85 |          0 |          6 |         91 |
| apps/admin/src/app/pages/orders                                                                                         |          4 |        259 |          0 |         23 |        282 |
| apps/admin/src/app/pages/orders/orders-detail                                                                           |          2 |        147 |          0 |         15 |        162 |
| apps/admin/src/app/pages/orders/orders-list                                                                             |          2 |        112 |          0 |          8 |        120 |
| apps/admin/src/app/pages/products                                                                                       |          4 |        396 |          0 |         25 |        421 |
| apps/admin/src/app/pages/products/products-form                                                                         |          2 |        268 |          0 |         16 |        284 |
| apps/admin/src/app/pages/products/products-list                                                                         |          2 |        128 |          0 |          9 |        137 |
| apps/admin/src/app/pages/users                                                                                          |          4 |        339 |          0 |         25 |        364 |
| apps/admin/src/app/pages/users/users-form                                                                               |          2 |        220 |          0 |         15 |        235 |
| apps/admin/src/app/pages/users/users-list                                                                               |          2 |        119 |          0 |         10 |        129 |
| apps/admin/src/app/shared                                                                                               |          4 |         53 |          0 |          7 |         60 |
| apps/admin/src/app/shared/shell                                                                                         |          2 |         14 |          0 |          3 |         17 |
| apps/admin/src/app/shared/sidebar                                                                                       |          2 |         39 |          0 |          4 |         43 |
| apps/ngshop                                                                                                             |         30 |        504 |        109 |         66 |        679 |
| apps/ngshop-e2e                                                                                                         |         10 |         61 |         73 |         18 |        152 |
| apps/ngshop-e2e/src                                                                                                     |          6 |         26 |         55 |         15 |         96 |
| apps/ngshop-e2e/src/fixtures                                                                                            |          1 |          4 |          0 |          1 |          5 |
| apps/ngshop-e2e/src/integration                                                                                         |          1 |          8 |          2 |          4 |         14 |
| apps/ngshop-e2e/src/plugins                                                                                             |          1 |          4 |         14 |          5 |         23 |
| apps/ngshop-e2e/src/support                                                                                             |          3 |         10 |         39 |          5 |         54 |
| apps/ngshop/src                                                                                                         |         24 |        441 |         67 |         62 |        570 |
| apps/ngshop/src/app                                                                                                     |         16 |        239 |          0 |         43 |        282 |
| apps/ngshop/src/app/pages                                                                                               |          3 |         29 |          0 |          9 |         38 |
| apps/ngshop/src/app/pages/home-page                                                                                     |          3 |         29 |          0 |          9 |         38 |
| apps/ngshop/src/app/shared                                                                                              |          9 |        110 |          0 |         22 |        132 |
| apps/ngshop/src/app/shared/footer                                                                                       |          2 |         24 |          0 |          3 |         27 |
| apps/ngshop/src/app/shared/header                                                                                       |          3 |         45 |          0 |          9 |         54 |
| apps/ngshop/src/app/shared/messages                                                                                     |          2 |         24 |          0 |          4 |         28 |
| apps/ngshop/src/app/shared/nav                                                                                          |          2 |         17 |          0 |          6 |         23 |
| apps/ngshop/src/assets                                                                                                  |          1 |        170 |          0 |          1 |        171 |
| apps/ngshop/src/assets/images                                                                                           |          1 |        170 |          0 |          1 |        171 |
| apps/ngshop/src/environments                                                                                            |          2 |          6 |         11 |          4 |         21 |
| environments                                                                                                            |          2 |         10 |         11 |          4 |         25 |
| libs                                                                                                                    |         90 |      2,141 |        158 |        327 |      2,626 |
| libs/orders                                                                                                             |         25 |        765 |         37 |         84 |        886 |
| libs/orders/src                                                                                                         |         19 |        693 |          0 |         76 |        769 |
| libs/orders/src/lib                                                                                                     |         17 |        685 |          0 |         74 |        759 |
| libs/orders/src/lib/components                                                                                          |          4 |         99 |          0 |         11 |        110 |
| libs/orders/src/lib/components/cart-icon                                                                                |          2 |         18 |          0 |          4 |         22 |
| libs/orders/src/lib/components/order-summary                                                                            |          2 |         81 |          0 |          7 |         88 |
| libs/orders/src/lib/models                                                                                              |          3 |         32 |          0 |          6 |         38 |
| libs/orders/src/lib/pages                                                                                               |          6 |        330 |          0 |         27 |        357 |
| libs/orders/src/lib/pages/cart-page                                                                                     |          2 |        120 |          0 |          8 |        128 |
| libs/orders/src/lib/pages/checkout-page                                                                                 |          2 |        181 |          0 |         15 |        196 |
| libs/orders/src/lib/pages/thank-you                                                                                     |          2 |         29 |          0 |          4 |         33 |
| libs/orders/src/lib/services                                                                                            |          2 |        142 |          0 |         28 |        170 |
| libs/products                                                                                                           |         25 |        534 |         37 |         78 |        649 |
| libs/products/src                                                                                                       |         19 |        462 |          0 |         70 |        532 |
| libs/products/src/lib                                                                                                   |         17 |        456 |          0 |         68 |        524 |
| libs/products/src/lib/components                                                                                        |          8 |        136 |          0 |         25 |        161 |
| libs/products/src/lib/components/categories-banner                                                                      |          2 |         40 |          0 |          6 |         46 |
| libs/products/src/lib/components/featured-products                                                                      |          2 |         38 |          0 |          7 |         45 |
| libs/products/src/lib/components/product-item                                                                           |          2 |         36 |          0 |          6 |         42 |
| libs/products/src/lib/components/products-search                                                                        |          2 |         22 |          0 |          6 |         28 |
| libs/products/src/lib/models                                                                                            |          2 |         25 |          0 |          3 |         28 |
| libs/products/src/lib/pages                                                                                             |          4 |        152 |          0 |         20 |        172 |
| libs/products/src/lib/pages/product-page                                                                                |          2 |         89 |          0 |         11 |        100 |
| libs/products/src/lib/pages/products-list                                                                               |          2 |         63 |          0 |          9 |         72 |
| libs/products/src/lib/services                                                                                          |          2 |         83 |          0 |         18 |        101 |
| libs/ui                                                                                                                 |         13 |        142 |         37 |         21 |        200 |
| libs/ui/src                                                                                                             |          7 |         70 |          0 |         13 |         83 |
| libs/ui/src/lib                                                                                                         |          5 |         68 |          0 |         11 |         79 |
| libs/ui/src/lib/components                                                                                              |          4 |         57 |          0 |         10 |         67 |
| libs/ui/src/lib/components/banner                                                                                       |          2 |         22 |          0 |          3 |         25 |
| libs/ui/src/lib/components/gallery                                                                                      |          2 |         35 |          0 |          7 |         42 |
| libs/users                                                                                                              |         27 |        700 |         47 |        144 |        891 |
| libs/users/src                                                                                                          |         21 |        628 |         10 |        136 |        774 |
